财务分类,项目编码,项目名称,项目内涵,除外内容,计价单位,说明,一档价格,二档价格,三档价格,四档价格
,1,一、综合医疗服务类,,,,"1.本类包括一般医疗服务、一般检查治疗、社区卫生及预防保健项目和其它医疗服务项目，本类编码为100000000。
2.有下列情况之一者不另收诊查费：①由医生指定在医院内换号诊断；②取化验及各种检查结果；③病人一次门诊医生开多张处方，多种检查，多次治疗单，检查治疗科室不得要求病人另交纳诊查费。
3.多科室共同使用的医疗服务项目列入本类之中，如护理、抢救、注射、换药等等。
4.患者结算时，门诊医药费用清单和住院病人医药费用明细清单不得另外收费。
5.门诊拆线不得另收诊查费。
6.门诊患者因病情需要，在院外使用的一次性材料（碘伏帽、胰岛素注射针头、造瘘管、造口袋、鼻饲管、导尿管、尿袋）可以外带并收费。",,,,
E,1103,3.急诊监护费,,,,,,,,
H,111100003S,药物基因多态性检测,指用各种方法检测，包括但不仅限于：CYP2C9、CYP2C19、CYP2D6、CYP3A4、VKORC1、SLCO1B1、ApoE、 MTHFR、ALDH2、ADRB1、AGTR1、ACE等归属于化学药物用药指导的相关基因。出具用药建议报告。仅限于非全基因组测序。,,每位点,计价最高不超过7个位点。,300.0 ,285.0 ,270.0 ,240.0 
,12,(二)一般检查治疗,,,,,,,,
F,120100011E,吸痰护理,含叩背、吸痰；不含雾化吸入。,,次,每日收费不超过24次。,8.0 ,7.8 ,7.6 ,7.2 
E,120100015E,机械辅助排痰,指无力自主排痰的机械振动辅助治疗。,,次,每天收费不超过3次。,13.0 ,12.4 ,11.7 ,10.4 
,1203,3.氧气吸入,,,,,,,,
E,120300001,氧气吸入,,一次性鼻导管、鼻塞、面罩,小时,,,,,
E,120300001-1,低流量给氧,,一次性鼻导管、鼻塞、面罩,小时,,4.0 ,4.0 ,4.0 ,4.0 
E,120300001-2,中流量给氧,,一次性鼻导管、鼻塞、面罩,小时,,5.0 ,5.0 ,5.0 ,5.0 
E,120300001-3,高流量给氧,,一次性鼻导管、鼻塞、面罩,小时,,6.0 ,6.0 ,6.0 ,6.0 
E,120300001-4,氧气创面治疗,,一次性鼻导管、鼻塞、面罩,小时,,6.0 ,6.0 ,6.0 ,6.0 
E,120300001-5,加压给氧加收,,,小时,,5.0 ,5.0 ,5.0 ,5.0 
E,120300002S,高流量氧疗,指使用空氧混合装置持续为患者提供一定流量（>30L/min）、加温湿化的呼吸气体，对氧合指数<300mmHg的重症患者进行治疗。,呼吸管路、导管、面罩、接头,小时,不得与310603 辅助呼吸类项目同时收费。,13,13,13,13
E,1204,4.注射,含用药指导与观察、药物的配置。,胰岛素专用注射器、留置导管、化疗泵、胰岛素专用针头。,,,,,,
E,120400000-1,注射加收(使用微量泵或输液泵),,,每小时/组,,1.2 ,1.2 ,1.2 ,1.2 
E,120400001E,肌肉注射,,,次,,4.0 ,4.0 ,4.0 ,4.0 
E,120400001-1E,皮下注射,,,次,,4.0 ,4.0 ,4.0 ,4.0 
E,120400001-2E,皮内注射,,,次,,4.0 ,4.0 ,4.0 ,4.0 
E,120400002E,静脉注射,,,次,,5.4 ,5.4 ,5.4 ,5.4 
E,120400002-1E,静脉采血,,,次,,5.9 ,5.7 ,5.6 ,5.3 
G,120400003E,心内注射,,,次,,10.5 ,10.0 ,9.5 ,8.5 
E,120400004E,动脉加压注射,,,次,,12.5 ,11.9 ,11.3 ,10.1 
E,120400004-1E,动脉采血,,,次,,21.9 ,21.3 ,20.7 ,19.5 
E,120400005,皮下输液,,,次,,暂不定价,暂不定价,暂不定价,暂不定价
E,120400006,静脉输液,指从核对、配药、穿刺、滴注、中途接瓶（袋）至拔针（留置针分离）结束的服务全过程。,,组,,,,,
E,120400006-1E,住院静脉输液,,,组,,13.8 ,13.4 ,13.0 ,12.2 
E,120400006-1/1E,住院输血,,,组,,9.3 ,8.9 ,8.6 ,7.9 
E,120400006-2E,门诊静脉输液,,,组,,21.8 ,21.0 ,20.2 ,18.6 
E,120400006-2/1E,门诊输血,,,组,,16.3 ,15.6 ,14.9 ,13.5 
E,120400006-3E,静脉连续输液(第二组及以上),,,组,,1.9 ,1.9 ,1.8 ,1.7 
E,120400006-4E,持续化学药物治疗,指电脑控制多种药物时辰化疗。,,日,,278.5 ,264.7 ,250.9 ,223.3 
E,120400006-5,骨髓腔内输液,指骨髓腔内的输液、输血，不含骨髓穿刺。,,组,,168.0 ,160.0 ,151.0 ,134.0 
E,120400007,小儿头皮静脉输液,,,组,,18.8 ,18.1 ,17.5 ,16.2 
E,120400007-1,小儿头皮静脉连续输液(第二组及以上),,,组,,1.9 ,1.9 ,1.8 ,1.7 
E,120400008E,肠内营养液配置,,营养袋,瓶/袋,,4.0 ,3.8 ,3.6 ,3.2 
G,120400009E,静脉切开置管术,,,次,,70.0 ,66.5 ,63.0 ,56.0 
E,120400010E,静脉穿刺置管术,指使用PICC导管进行的外周静脉穿刺。,导管、血管鞘,次,,42.0 ,39.9 ,37.8 ,33.6 
E,120400011,中心静脉穿刺置管术,,中心静脉套件、测压套件、透明敷贴,,,,,,
E,120400011-1E,中心静脉穿刺置管术,,中心静脉套件、测压套件、透明敷贴,次,,70.0 ,66.5 ,63.0 ,56.0 
E,120400011-2E,中心静脉测压,,,次,,7.0 ,6.7 ,6.3 ,5.6 
E,120400011-3E,深静脉穿刺置管术,,中心静脉套件、测压套件、透明敷贴,次,,70.0 ,66.5 ,63.0 ,56.0 
G,120400012E,动脉穿刺置管术,,,次,,135.0 ,128.0 ,122.0 ,108.0 
E,120400013,化学药物配置,,,组,,,,,
E,120400013-1E,抗肿瘤化学药物配置,指在符合静脉药物集中配置管理规定、有严格消毒隔离措施的中心配置间或普通药物配置间进行抗肿瘤化学药物配置。,,组,,18.7 ,17.8 ,16.9 ,15.1 
E,120400013-2E,全静脉营养液配置,指在符合静脉营养药物配置管理规定，有严格消毒隔离措施的中心配置间或普通药物配制间里进行全静脉营养液配置。,营养袋,组,,18.7 ,17.8 ,16.9 ,15.1 
E,120400013-3E,其他静脉药物配置,指在符合静脉药物集中配置管理规定、有严格消毒隔离措施的中心配置间里进行静脉药物配置。,,组,,4.7 ,4.5 ,4.3 ,3.9 
E,120400014S,百级静脉用药药物调配,指在超净配药装置内创建局部密闭百级洁净环境，使用无菌溶药器进行配药。含一次性使用无菌无芯杆溶药器带针。,,组,,18.9 ,18.0 ,17.0 ,15.1 
,1205,5.清创缝合,,,,含敷料。,,,,
E,120500001E,清创缝合(大),,,次,缝合11针以上。,270.0 ,256.5 ,243.0 ,216.0 
E,120500001-1E,术后创口二期缝合术(大),,,次,缝合11针以上。,270.0 ,256.5 ,243.0 ,216.0 
E,120500001-2E,清创不缝合(大),,,次,伤口长度大于10厘米。,135.0 ,128.3 ,121.5 ,108.0 
E,120500002E,清创缝合(中),,,次,缝合6-10针。,200.0 ,190.0 ,180.0 ,160.0 
E,120500002-1E,术后创口二期缝合术(中),,,次,缝合6-10针。,200.0 ,190.0 ,180.0 ,160.0 
E,120500002-2E,清创不缝合(中),,,次,伤口长度5-10（含）厘米。,100.0 ,95.0 ,90.0 ,80.0 
E,120500003E,清创缝合(小),,,次,缝合1-5针。,108.0 ,102.6 ,97.2 ,86.4 
E,120500003-1E,术后创口二期缝合术(小),,,次,缝合1-5针。,108.0 ,102.6 ,97.2 ,86.4 
E,120500003-2E,清创不缝合(小),,,次,伤口长度小于等于5厘米。,54.0 ,51.3 ,48.6 ,43.2 
E,120500004SE,超声清创术,指超声清创机清创，含清创后创面包扎。,,10cm2,不足10cm2按10cm2计价。,70.0 ,66.5 ,63.0 ,56.0 
E,120500004S-1E,超声清创术加收(超10cm2),,,1cm2,,7.0 ,6.7 ,6.3 ,5.6 
,1206,6.换药,,药物、引流管,,以缝合后的伤口面积为计价单位。伤口长度、宽度不足1cm的，均按1cm计算。,,,,
E,120600001E,换药(特大),,药物、引流管,次,创面50（不含）cm2以上或长度25（不含）cm以上。,65.0 ,61.8 ,58.5 ,52.0 
E,120600001-1E,门诊拆线(特大),,药物、引流管,次,创面50（不含）cm2以上或长度25（不含）cm以上。,55.0 ,52.3 ,49.5 ,44.0 
E,120600001-2E,外擦药物治疗(特大),,药物、引流管,次,创面50（不含）cm2以上或长度25（不含）cm以上。,55.0 ,52.3 ,49.5 ,44.0 
E,120600001-3E,外敷药物治疗(特大),,药物、引流管,次,创面50（不含）cm2以上或长度25（不含）cm以上。,55.0 ,52.3 ,49.5 ,44.0 
E,120600001-4E,封包换药(特大),,药物、引流管,次,创面50（不含）cm2以上或长度25（不含）cm以上。,55.0 ,52.3 ,49.5 ,44.0 
E,120600002E,换药(大),,药物、引流管,次,创面30（不含）-50（含）cm2或长度15（不含）-25（含）cm。,38.0 ,36.1 ,34.2 ,30.4 
E,120600002-1E,门诊拆线(大),,药物、引流管,次,创面30（不含）-50（含）cm2或长度15（不含）-25（含）cm。,28.0 ,26.6 ,25.2 ,22.4 
E,120600002-2E,外擦药物治疗(大),,药物、引流管,次,创面30（不含）-50（含）cm2或长度15（不含）-25（含）cm。,28.0 ,26.6 ,25.2 ,22.4 
E,120600002-3E,外敷药物治疗(大),,药物、引流管,次,创面30（不含）-50（含）cm2或长度15（不含）-25（含）cm。,28.0 ,26.6 ,25.2 ,22.4 
E,120600002-4E,封包换药(大),,药物、引流管,次,创面30（不含）-50（含）cm2或长度15（不含）-25（含）cm。,28.0 ,26.6 ,25.2 ,22.4 
E,120600003E,换药(中),,药物、引流管,次,创面15（不含）-30（含）cm2 或长度10（不含）-15（含）cm。,26.0 ,24.7 ,23.4 ,20.8 
E,120600003-1E,门诊拆线(中),,药物、引流管,次,创面15（不含）-30（含）cm2 或长度10（不含）-15（含）cm。,20.0 ,19.0 ,18.0 ,16.0 
E,120600003-2E,外擦药物治疗(中),,药物、引流管,次,创面15（不含）-30（含）cm2 或长度10（不含）-15（含）cm。,20.0 ,19.0 ,18.0 ,16.0 
E,120600003-3E,外敷药物治疗(中),,药物、引流管,次,创面15（不含）-30（含）cm2 或长度10（不含）-15（含）cm。,20.0 ,19.0 ,18.0 ,16.0 
E,120600003-4E,封包换药(中),,药物、引流管,次,创面15（不含）-30（含）cm2 或长度10（不含）-15（含）cm。,20.0 ,19.0 ,18.0 ,16.0 
E,120600004E,换药(小),,药物、引流管,次,创面15（含）cm2以下或长度10（含）cm以下。,18.0 ,17.1 ,16.2 ,14.4 
E,120600004-1E,门诊拆线(小),,药物、引流管,次,创面15（含）cm2以下或长度10（含）cm以下。,14.0 ,13.3 ,12.6 ,11.2 
E,120600004-2E,外擦药物治疗(小),,药物、引流管,次,创面15（含）cm2以下或长度10（含）cm以下。,14.0 ,13.3 ,12.6 ,11.2 
E,120600004-3E,外敷药物治疗(小),,药物、引流管,次,创面15（含）cm2以下或长度10（含）cm以下。,14.0 ,13.3 ,12.6 ,11.2 
E,120600004-4E,封包换药(小),,药物、引流管,次,创面15（含）cm2以下或长度10（含）cm以下。,14.0 ,13.3 ,12.6 ,11.2 
,1207,7.雾化吸入,,,,,,,,
E,120700001,雾化治疗,,药物、一次性雾化器,次,,7.0 ,6.7 ,6.3 ,5.6 
E,120700001-1,超声雾化吸入,,药物、一次性雾化器,次,,7.0 ,6.7 ,6.3 ,5.6 
E,120700001-2,高压泵雾化吸入,,药物、一次性雾化器,次,,7.0 ,6.7 ,6.3 ,5.6 
E,120700001-3,氧气雾化吸入,,药物、一次性雾化器,次,,11.0 ,10.5 ,9.9 ,8.8 
E,120700001-4,蒸汽雾化吸入,,药物、一次性雾化器,次,,7.0 ,6.7 ,6.3 ,5.6 
E,120700001-5,机械通气经呼吸机管道雾化给药,,药物、一次性雾化器,次,,7.0 ,6.7 ,6.3 ,5.6 
,1208,8.鼻饲管置管,,营养泵管,,,,,,
E,120800001,鼻饲管置管,,药物和一次性胃肠管,,,,,,
E,120800001-1E,鼻饲管置管,,药物和一次性胃肠管,次,,20.0 ,19.0 ,18.0 ,16.0 
E,120800001-2E,注食、注药、十二指肠灌注,,药物和一次性胃肠管、注食器、灌食器,日,,13.0 ,12.4 ,11.7 ,10.4 
E,120800001-2/1E,注食、注药、十二指肠灌注加收(使用各种泵),,,每小时,,1.2 ,1.1 ,1.1 ,1.0 
E,120800002E,肠内营养治疗,指经腹部造瘘置管或经鼻空肠置管，含肠内营养液配置。限不能进食的病人。,营养泵管,日,,42.0 ,39.9 ,37.8 ,33.6 
E,120800002-1E,肠内营养治疗加收(使用各种泵),,,每小时,,1.2 ,1.1 ,1.1 ,1.0 
,1209,9.胃肠减压,,一次性吸引瓶（袋）,,,,,,
E,120900001E,胃肠减压,含留置胃管抽胃液及间断减压。,一次性胃管,日,,12.0 ,11.4 ,10.8 ,9.6 
,1210,10.洗胃,含插胃管及冲洗。,药物、一次性胃管、一次性胃食道插管导引管,,,,,,
E,121000001E,洗胃,含插胃管及冲洗。,药物、一次性胃管、一次性胃食道插管导引管,次,,48.0 ,45.6 ,43.2 ,38.4 
E,121000001-1E,洗胃机洗胃,含插胃管及冲洗。,药物、一次性胃管、一次性胃食道插管导引管,次,,62.0 ,58.9 ,55.8 ,49.6 
,1211,11.物理降温,,,,,,,,
E,121100001,一般物理降温,,,次,,,,,
E,121100001-1,酒精擦浴,,,次,,18.0 ,17.1 ,16.2 ,14.4 
E,121100001-2,冰袋降温,,,次,冰袋降温每天收费不超过12次。,2.4 ,2.3 ,2.2 ,1.9 
E,121100001-2/1,冰帽降温,,,次,,2.4 ,2.3 ,2.2 ,1.9 
E,121100002,特殊物理降温,指使用专用设备降温。,,小时,,7.0 ,6.7 ,6.3 ,5.6 
E,121100002-1,特殊物理升温,指使用专用设备升温。,,小时,,7.0 ,6.7 ,6.3 ,5.6 
,1212,12.坐浴,,,,,,,,
E,121200001,坐浴,,药物,次,,3.0 ,2.9 ,2.7 ,2.4 
,1213,13.冷热湿敷,,,,,,,,
E,121300001,冷热湿敷,,药物,次,,3.0 ,2.9 ,2.7 ,2.4 
,1215,15.灌肠,,,,,,,,
E,121500001E,灌肠,,,次,,20.0 ,19.0 ,18.0 ,16.0 
E,121500001-1E,一般灌肠,,,次,,20.0 ,19.0 ,18.0 ,16.0 
E,121500001-2E,保留灌肠,,,次,,20.0 ,19.0 ,18.0 ,16.0 
E,121500001-3E,三通氧气灌肠,,,次,,20.0 ,19.0 ,18.0 ,16.0 
E,121500002E,清洁灌肠,指经肛门清洁灌肠。,,次,,36.0 ,34.2 ,32.4 ,28.8 
E,121500002-1E,回流灌肠,,,次,不得同时收取清洁灌肠费。,56.3 ,53.5 ,50.7 ,45.0 
,1216,16.导尿,,,,,,,,
E,121600001,导尿,,,,,,,,
E,121600001-1E,导尿,,,次,,61.2 ,59.7 ,58.2 ,55.2 
E,121600001-2E,留置导尿,,,日,,3.5 ,3.4 ,3.3 ,3.1 
E,121600001-3E,持续尿量监测,指留置导尿持续监测记录每小时尿量。,精密计尿器,小时,,1.2 ,1.1 ,1.1 ,1.0 
E,121600003E,膀胱冲洗,,,次,,27.8 ,27.1 ,26.4 ,25.0 
E,121600004E,持续膀胱冲洗,,,日,,85.8 ,82.2 ,78.6 ,71.4 
E,121600004-1,持续腹腔冲洗,,,日,,85.8 ,82.2 ,78.6 ,71.4 
,1217,17.肛管排气,,,,,,,,
E,121700001E,肛管排气,,,次,,9.0 ,8.6 ,8.1 ,7.2 
D,121700002S,直肠指力刺激,指人工辅助通便，用于中风、脑外伤、脊髓损伤等导致排便功能障碍的病人及老年长期便秘患者。,,次,,28.0 ,26.6 ,25.2 ,22.4 
E,121800001S,伤口负压辅助愈合治疗,应用指征：①创伤：大面积皮肤缺损、撕脱伤、脱套伤；②骨科：开放性骨折合并软组织缺损、肌腱外露或骨外露、慢性骨髓炎合并创面经久不愈合、骨筋膜室综合症；③普外科：乳腺癌根治术后创面引流、直肠癌Miles根治术后引流、会阴部创面的引流；④烧伤：一期缝合后无法植皮的烧伤创面；⑤其他：糖尿病性溃疡、褥疮 、植皮后对植皮区保护、其他外科手术后伤口严重感染、迁延不愈。伤口内的负压须实时监测。含慢性溃疡修复术、清创缝合、引流管引流、换药等。,负压辅助愈合治疗系统耗材,次,,,,,
E,121800001S-1,特大伤口负压辅助愈合治疗,应用指征：①创伤：大面积皮肤缺损、撕脱伤、脱套伤；②骨科：开放性骨折合并软组织缺损、肌腱外露或骨外露、慢性骨髓炎合并创面经久不愈合、骨筋膜室综合症；③普外科：乳腺癌根治术后创面引流、直肠癌Miles根治术后引流、会阴部创面的引流；④烧伤：一期缝合后无法植皮的烧伤创面；⑤其他：糖尿病性溃疡、褥疮 、植皮后对植皮区保护、其他外科手术后伤口严重感染、迁延不愈。伤口内的负压须实时监测。含慢性溃疡修复术、清创缝合、引流管引流、换药等。,负压辅助愈合治疗系统耗材,次,创面400cm2（含）以上。,1900.0 ,1805.0 ,1710.0 ,1520.0 
E,121800001S-2E,大型伤口负压辅助愈合治疗,应用指征：①创伤：大面积皮肤缺损、撕脱伤、脱套伤；②骨科：开放性骨折合并软组织缺损、肌腱外露或骨外露、慢性骨髓炎合并创面经久不愈合、骨筋膜室综合症；③普外科：乳腺癌根治术后创面引流、直肠癌Miles根治术后引流、会阴部创面的引流；④烧伤：一期缝合后无法植皮的烧伤创面；⑤其他：糖尿病性溃疡、褥疮 、植皮后对植皮区保护、其他外科手术后伤口严重感染、迁延不愈。伤口内的负压须实时监测。含慢性溃疡修复术、清创缝合、引流管引流、换药等。,负压辅助愈合治疗系统耗材,次,创面200cm2（含）-400cm2。,1400.0 ,1330.0 ,1260.0 ,1120.0 
E,121800001S-3E,中型伤口负压辅助愈合治疗,应用指征：①创伤：大面积皮肤缺损、撕脱伤、脱套伤；②骨科：开放性骨折合并软组织缺损、肌腱外露或骨外露、慢性骨髓炎合并创面经久不愈合、骨筋膜室综合症；③普外科：乳腺癌根治术后创面引流、直肠癌Miles根治术后引流、会阴部创面的引流；④烧伤：一期缝合后无法植皮的烧伤创面；⑤其他：糖尿病性溃疡、褥疮 、植皮后对植皮区保护、其他外科手术后伤口严重感染、迁延不愈。伤口内的负压须实时监测。含慢性溃疡修复术、清创缝合、引流管引流、换药等。,负压辅助愈合治疗系统耗材,次,创面100cm2（含）-200cm2。,800.0 ,760.0 ,720.0 ,640.0 
E,121800001S-4E,小型伤口负压辅助愈合治疗,应用指征：①创伤：大面积皮肤缺损、撕脱伤、脱套伤；②骨科：开放性骨折合并软组织缺损、肌腱外露或骨外露、慢性骨髓炎合并创面经久不愈合、骨筋膜室综合症；③普外科：乳腺癌根治术后创面引流、直肠癌Miles根治术后引流、会阴部创面的引流；④烧伤：一期缝合后无法植皮的烧伤创面；⑤其他：糖尿病性溃疡、褥疮 、植皮后对植皮区保护、其他外科手术后伤口严重感染、迁延不愈。伤口内的负压须实时监测。含慢性溃疡修复术、清创缝合、引流管引流、换药等。,负压辅助愈合治疗系统耗材,次,创面100cm2以下。,600.0 ,570.0 ,540.0 ,480.0 
G,121900001S,皮下气肿穿刺排气,对存在皮下气肿的患者进行经皮穿刺排气。,,次,,80.0 ,76.0 ,72.0 ,64.0 
D,121900003S,经膀胱腹腔内压力测定,通过测量膀胱内压力间接反映腹腔内压力。,,次,每天收费不超过1次。,30.0 ,28.5 ,27.0 ,24.0 
D,121900004S,膀胱容量测定,指通过导尿管排空膀胱后，向膀胱内注入液体，测定膀胱容量。不含导尿。,,次,,18.0 ,17.1 ,16.2 ,14.4 
E,121900005S,淋巴水肿综合治疗,指对淋巴水肿进行系统性的评估，通过对经络、浅表淋巴管的手法引流，再配合缠缚等综合治疗达到促进淋巴液回流、减轻肿胀的目的。,,次,,200.0 ,190.0 ,180.0 ,160.0 
I,130900003S,优生遗传咨询,,,半小时,不得少于半小时，住院病人不得收取。,54.0 ,51.3 ,48.6 ,43.2 
,14,(四)其他医疗服务项目,,,,,,,,
,1401,1.尸体料理,,,,,,,,
I,140100001,尸体料理,指尸体常规清洁处理及包裹；不含专业性尸体整容。,,次,,80.0 ,80.0 ,80.0 ,80.0 
I,140100001-1,特殊传染病尸体料理,指尸体常规清洁处理及包裹；不含专业性尸体整容。,,次,,198.0 ,198.0 ,198.0 ,198.0 
I,140100002,专业性尸体整容,指伤残尸体整容。,,次,,暂不定价,暂不定价,暂不定价,暂不定价
I,140100003,尸体存放,,,日,存放一日内不得收费。,36.0 ,36.0 ,36.0 ,36.0 
I,140100004,离体残肢处理,,,次,,42.0 ,42.0 ,42.0 ,42.0 
I,140100004-1,死婴处理,,,次,,43.5 ,43.5 ,43.5 ,43.5 
I,140100004-2,死胎处理,,,次,,42.0 ,42.0 ,42.0 ,42.0 
,2,二、医 技 诊 疗 类,,,,"1.医技诊疗类包括医学影像、超声检查、核医学、放射治疗 、检验、血型与配血、病理检查，7个二级分类，总分类码为2，二级分类码为21—27。
2.使用放射免疫学方法的各种检验项目不统一列在核医学类下，请在检验类查找。
3.“核医学内照射治疗类”(分类码2306)项目均为开放性核素治疗。封闭性核素治疗项目列入“放射治疗”类之“后装治疗”类中(分类码2404)。
4.肿瘤的非放射性物理治疗项目(如射频热疗、高强度超声聚焦治疗等)列入“放射治疗”类中(分类码2407)。
5.肿瘤细胞的化疗药物敏感实验项目列于“临床微生物学检查”类之“药物敏感试验”类中(分类码250502)。
6.组织器官移植所需的各项检验(HLA检查等)列入“血型与配血”类中，项目编码为260000023 —260000026。
7.检验类项目均以检查目的立项。因许多检验项目可用成本差异悬殊的多种技术方法实现，本价格项目将成本差异悬殊的技术方法分别定价。
8.X线摄影中未列入尺寸的X线片,可比照相近尺寸X线片，介于两个尺寸之间的，按较小的尺寸计费。
9.因操作失误及仪器性能差错等原因，需要重新检查或检验的项目，一律不得再向患者另行收费。
10.未取得国家或省大型医用设备配置许可证的大型医用设备不得收取检查和治疗费。
11.病理学诊断和实验室诊断类项目，项目名称、内涵、说明未列的样本类型，符合卫生行政主管部门相关管理规定的，可按照相应项目价格执行，不受项目名称和内涵样本类型限制。",,,,
D,210101004,C型臂术中透视,含透视下定位。,,半小时,,40.0 ,38.0 ,36.0 ,32.0 
D,210101004-1,C型臂术中透视(使用影像增强器或电视屏),,,半小时,,60.0 ,57.0 ,54.0 ,48.0 
D,210102017,非血管介入临床操作数字减影(DSA)引导,,,次,,905.0 ,859.8 ,814.5 ,724.0 
D,210103021,经内镜逆行胰胆管造影(ERCP),,导丝、切开刀,次,,300.0 ,285.0 ,270.0 ,240.0 
D,210103022,经皮经肝胆道造影(PTC),,,次,,200.0 ,190.0 ,180.0 ,160.0 
D,210200008,临床操作的磁共振引导,,,每半小时,,400.0 ,380.0 ,360.0 ,320.0 
D,210300005,临床操作的CT引导,,,每半小时,,150.0 ,142.5 ,135.0 ,120.0 
D,2105,5.其他,,,,,,,,
D,210500001,红外热像检查,,,每部位,,20.0 ,19.0 ,18.0 ,16.0 
D,210500001-1,远红外热断层检查,,,每部位,,20.0 ,19.0 ,18.0 ,16.0 
D,210500002,红外线乳腺检查,,,单侧,,46.0 ,43.7 ,41.4 ,36.8 
D,220100002,临床操作的A超引导,,,半小时,,暂不定价,暂不定价,暂不定价,暂不定价
D,220201009,临床操作的B超引导,,,每半小时,不可同时收取超声检查费。,70.0 ,66.5 ,63.0 ,56.0 
D,220202003,临床操作的腔内B超引导,,,每半小时,不可同时收取超声检查费。,100.0 ,95.0 ,90.0 ,80.0 
D,220302012,临床操作的彩色多普勒超声引导,,,每半小时,不可同时收取超声检查费。,120.0 ,114.0 ,108.0 ,96.0 
D,230200055,骨密度测定,,,人次,,,,,
D,230200055-1,单光子骨密度测定,,,人次,,60.0 ,57.0 ,54.0 ,48.0 
D,230200055-2,双光子或X线能量骨密度测定,,,人次,,200.0 ,190.0 ,180.0 ,160.0 
D,230500014,14碳呼气试验,,,次,,92.0 ,87.4 ,82.8 ,73.6 
D,230500014-1,其他呼气试验,指釆集人体呼出的气体，测量具有临床诊断价值的目标气体，审核结果并出具相关报告。,,次,,92.0 ,87.4 ,82.8 ,73.6 
E,2407,7.其他,,,,,,,,
E,240700001,深部热疗,指超声或电磁波等热疗。,,次,,500.0 ,475.0 ,450.0 ,400.0 
E,240700001-1,深部热疗加收(内生场热疗),,,次,,500.0 ,475.0 ,450.0 ,400.0 
E,240700002,高强度超声聚焦刀治疗,指使用焦域声强5000W/cm2以下高强度超声聚焦设备对实体性肿瘤的疗程损毁性消融治疗:含术中超声监控。,,次,同一病灶按实际治疗次数计收，超过5次的，最高按5次计收。,2000.0 ,1900.0 ,1800.0 ,1600.0 
E,240700002-1,高强度聚焦超声热消融肿瘤刀治疗,指使用焦域声强5000W/cm2及以上高强度超声聚焦设备对实体性肿瘤的一次损毁性消融治疗:含术中超声监控。,,次,同一病灶治疗按一次计收。,10000.0 ,9500.0 ,9000.0 ,8000.0 
E,240700003,体表肿瘤电化学治疗,,,次,,暂不定价,暂不定价,暂不定价,暂不定价
E,240700004S,光动力治疗,,,,,,,,
E,240700004S-1,恶性肿瘤光动力治疗,含光敏剂、激光源。,,次,,3052.0 ,2899.4 ,2746.8 ,2441.6 
E,240700004S-2,良性病变光动力治疗,含激光源。,,次,体被肿物3个肿物以内（含3个）为一次。,308.0 ,292.6 ,277.2 ,246.4 
E,240700004S-2/1,良性病变光动力治疗加收(超过3个肿物),,,每个肿物,,50.0 ,47.5 ,45.0 ,40.0 
,25,(五)检验,,,,组合的检验项目超过8项的，各项目价格按80%计价。,,,,
,2501,1.临床检验,,,,,,,,
,250101,1.1 血液一般检查,,,,,,,,
H,250101001,血红蛋白测定(Hb),,,项,,1.0 ,1.0 ,0.9 ,0.8 
H,250101001-1,血红蛋白测定(Hb)-手工法,,,项,,2.0 ,1.9 ,1.8 ,1.6 
H,250101001-2,血红蛋白测定(Hb)-床旁快速检测,,,项,,15.0 ,14.3 ,13.5 ,12.0 
H,250101002,红细胞计数(RBC),,,项,,2.0 ,1.9 ,1.8 ,1.6 
H,250101002-1,红细胞计数(RBC)-手工法,,,项,,5.0 ,4.8 ,4.5 ,4.0 
H,250101003,红细胞比积测定(HCT),,,项,,2.0 ,1.9 ,1.8 ,1.6 
H,250101003-1,红细胞比积测定(HCT)-手工法,,,项,,5.0 ,4.8 ,4.5 ,4.0 
H,250101005,网织红细胞计数(Ret),,,项,,,,,
H,250101005-1,网织红细胞计数(Ret)-镜检法,,,项,,4.0 ,3.8 ,3.6 ,3.2 
H,250101005-2,网织红细胞计数(Ret)-仪器法,,,项,,11.5 ,10.9 ,10.4 ,9.2 
H,250101005-3,网织红细胞计数(Ret)-流式细胞仪法,,,项,,22.1 ,21.0 ,19.9 ,17.7 
H,250101006,嗜碱性点彩红细胞计数,,,项,,3.5 ,3.3 ,3.2 ,2.8 
H,250101007,异常红细胞形态检查,,,项,,5.0 ,4.8 ,4.5 ,4.0 
H,250101008,红细胞沉降率测定(ESR),,,项,,9.0 ,8.6 ,8.1 ,7.2 
H,250101008-1,红细胞沉降率测定(ESR)-手工法,,,项,,5.0 ,4.8 ,4.5 ,4.0 
H,250101009,白细胞计数(WBC),,,项,,2.0 ,1.9 ,1.8 ,1.6 
H,250101009-1,白细胞计数(WBC)-手工法,,,项,,8.0 ,7.6 ,7.2 ,6.4 
H,250101010,白细胞分类计数(DC),,,项,,2.0 ,1.9 ,1.8 ,1.6 
H,250101010-1,白细胞分类计数(DC)-手工法,,,项,,18.0 ,17.1 ,16.2 ,14.4 
H,250101011,嗜酸性粒细胞直接计数,,,项,,2.0 ,1.9 ,1.8 ,1.6 
H,250101011-1,嗜碱性粒细胞直接计数,,,项,,2.0 ,1.9 ,1.8 ,1.6 
H,250101011-2,淋巴细胞直接计数,,,项,,2.0 ,1.9 ,1.8 ,1.6 
H,250101011-3,单核细胞直接计数,,,项,,2.0 ,1.9 ,1.8 ,1.6 
H,250101012,异常白细胞形态检查,,,项,,18.0 ,17.1 ,16.2 ,14.4 
