财务分类,项目编码,项目名称,项目内涵,除外内容,计价单位,说明,一档价格,二档价格,三档价格,四档价格
,1,一、综合医疗服务类,,,,"1.本类包括一般医疗服务、一般检查治疗、社区卫生及预防保健项目和其它医疗服务项目，本类编码为100000000。
2.有下列情况之一者不另收诊查费：①由医生指定在医院内换号诊断；②取化验及各种检查结果；③病人一次门诊医生开多张处方，多种检查，多次治疗单，检查治疗科室不得要求病人另交纳诊查费。
3.多科室共同使用的医疗服务项目列入本类之中，如护理、抢救、注射、换药等等。
4.患者结算时，门诊医药费用清单和住院病人医药费用明细清单不得另外收费。
5.门诊拆线不得另收诊查费。
6.门诊患者因病情需要，在院外使用的一次性材料（碘伏帽、胰岛素注射针头、造瘘管、造口袋、鼻饲管、导尿管、尿袋）可以外带并收费。",,,,
G,331001004,食管良性肿物切除术,含肿瘤局部切除；不含肿瘤食管切除胃食管吻合术。,,次,,3703.0 ,3518.0 ,3333.0 ,2962.0 
G,331001005,先天性食管囊肿切除术,,,次,,2000.0 ,1900.0 ,1800.0 ,1600.0 
G,331001006,食管憩室切除术,,,次,,3845.0 ,3653.0 ,3461.0 ,3076.0 
G,331001006-1,食管憩室内翻术,,,次,,3000.0 ,2850.0 ,2700.0 ,2400.0 
G,331001007E,食管狭窄切除吻合术,,,次,,2000.0 ,1900.0 ,1800.0 ,1600.0 
G,331001007-1,食管蹼切除术,,,次,,2000.0 ,1900.0 ,1800.0 ,1600.0 
G,331001008,下咽颈段食管狭窄切除及颈段食管再造术,,,次,,3720.0 ,3534.0 ,3348.0 ,2976.0 
G,331001009E,食管闭锁造瘘术,,特殊胃造瘘套管,次,,1500.0 ,1425.0 ,1350.0 ,1200.0 
G,331001009-1E,食管闭锁颈段造瘘术,,特殊胃造瘘套管,次,,1500.0 ,1425.0 ,1350.0 ,1200.0 
G,331001009-2E,食管闭锁胃造瘘术,,特殊胃造瘘套管,次,,1500.0 ,1425.0 ,1350.0 ,1200.0 
G,331001010,先天性食管闭锁经胸膜外吻合术,含食管气管瘘修补；不含胃造瘘术。,支架,次,,4940.0 ,4693.0 ,4446.0 ,3952.0 
G,331001011,食管癌根治术,含胸内胃食管吻合（主动脉弓下，弓上胸顶部吻合）及颈部吻合术。,,次,,7280.0 ,6916.0 ,6552.0 ,5824.0 
G,331001011-1,食管癌三切口联合根治术,,,次,,13665.0 ,12982.0 ,12299.0 ,10932.0 
G,331001012,颈段食管癌切除+结肠代食管术,指经颈、胸、腹径路手术。,,次,,6845.0 ,6502.8 ,6160.5 ,5476.0 
G,331001013,颈段食管癌切除+颈部皮瓣食管再造术,,,次,,6101.0 ,5796.0 ,5490.9 ,4880.8 
G,331001014,食管癌根治+结肠代食管术,,,次,,4600.0 ,4370.0 ,4140.0 ,3680.0 
G,331001015,颈段食管切除术,,,次,,5400.0 ,5130.0 ,4860.0 ,4320.0 
G,331001016,食管胃吻合口狭窄切开成形术,含狭窄局部切开缝合或再吻合术。,,次,,2700.0 ,2565.0 ,2430.0 ,2160.0 
G,331001017,食管横断吻合术,含胃冠状静脉结扎术；不含脾切除术、幽门成形术。,,次,,3150.0 ,2992.5 ,2835.0 ,2520.0 
G,331001018,食管再造术,,,次,,4800.0 ,4560.0 ,4320.0 ,3840.0 
G,331001018-1,胃代食管再造术,,,次,,4800.0 ,4560.0 ,4320.0 ,3840.0 
G,331001018-2,肠代食管再造术,,,次,,4800.0 ,4560.0 ,4320.0 ,3840.0 
G,331001019,食管胃短路捷径手术,,,次,,1786.0 ,1696.7 ,1607.4 ,1428.8 
G,331001020,游离空肠代食管术,含微血管吻合术。,,次,,3300.0 ,3135.0 ,2970.0 ,2640.0 
G,331001020-1,游离空肠移植代下咽术,,,次,,3300.0 ,3135.0 ,2970.0 ,2640.0 
G,331001021,贲门痉挛(失弛缓症)肌层切开术,含经腹径路手术。,,次,,2950.0 ,2802.5 ,2655.0 ,2360.0 
G,331001022,贲门癌切除术,含胃食管弓下吻合术。,,次,,5743.0 ,5456.0 ,5169.0 ,4594.0 
G,331001023,贲门癌扩大根治术,含全胃、脾、胰尾切除、食管－空肠吻合术。,,次,,6870.0 ,6527.0 ,6183.0 ,5496.0 
,331002,10.2 胃手术,,,,,,,,
G,331002001E,胃肠切开取异物,,,次,,2049.0 ,1947.0 ,1844.0 ,1639.0 
G,331002001-1E,胃肠局部肿瘤切除术,,,次,,1869.0 ,1776.0 ,1682.0 ,1495.0 
G,331002002,胃出血切开缝扎止血术,,,次,,1800.0 ,1710.0 ,1620.0 ,1440.0 
G,331002003,近端胃大部切除术,,,次,,1987.0 ,1888.0 ,1788.0 ,1590.0 
G,331002004E,远端胃大部切除术,含胃、十二指肠吻合（BillrothI式）、胃空肠吻合（BillrothⅡ式）或胃—空肠Roux-y型吻合。,,次,,2190.0 ,2081.0 ,1971.0 ,1752.0 
G,331002005,胃癌根治术,含保留胃近端与十二指肠或空肠吻合、区域淋巴结清扫；不含联合其他脏器切除。,,次,,4996.0 ,4746.0 ,4496.0 ,3997.0 
G,331002006,胃癌扩大根治术,含胃癌根治及联合其他侵及脏器切除。,,次,,5794.0 ,5504.0 ,5215.0 ,4635.0 
G,331002007,胃癌姑息切除术,,,次,,2600.0 ,2470.0 ,2340.0 ,2080.0 
G,331002008,全胃切除术,含区域淋巴结清扫。,,次,,4109.0 ,3904.0 ,3698.0 ,3287.0 
G,331002008-1E,全胃切除术(食道空肠吻合Roux-y型或袢式),含区域淋巴结清扫。,,次,,3750.0 ,3562.5 ,3375.0 ,3000.0 
G,331002008-2E,全胃切除术(食道-十二指肠吻合),含区域淋巴结清扫。,,次,,3750.0 ,3562.5 ,3375.0 ,3000.0 
G,331002009E,胃肠造瘘术,,一次性造瘘管,次,,1300.0 ,1235.0 ,1170.0 ,1040.0 
G,331002009-1E,胃切开造瘘管置管术,,一次性造瘘管,次,,1300.0 ,1235.0 ,1170.0 ,1040.0 
G,331002009-2E,小肠切开造瘘管置管术,,一次性造瘘管,次,,1551.0 ,1473.0 ,1396.0 ,1241.0 
G,331002010E,胃扭转复位术,,,次,,1500.0 ,1425.0 ,1350.0 ,1200.0 
G,331002011E,胃肠穿孔修补术,,,次,,1833.0 ,1741.0 ,1650.0 ,1466.0 
G,331002012,胃冠状静脉栓塞术,,,次,经血管介入诊疗同时适用。,2400.0 ,2280.0 ,2160.0 ,1920.0 
G,331002012-1,胃冠状静脉结扎术,,,次,,2400.0 ,2280.0 ,2160.0 ,1920.0 
G,331002013,胃迷走神经切断术,,,次,,1770.0 ,1681.5 ,1593.0 ,1416.0 
G,331002013-1,胃选择性迷走神经切除术,,,次,,1770.0 ,1681.5 ,1593.0 ,1416.0 
G,331002013-2,胃迷走神经干切断术,,,次,,1770.0 ,1681.5 ,1593.0 ,1416.0 
G,331002014E,幽门成形术,逐层进腹，探查，幽门切开，成形缝合，止血，经腹壁另戳孔置管固定，清点器具、纱布无误，冲洗腹腔，逐层关腹。,,次,,1540.0 ,1463.0 ,1386.0 ,1232.0 
G,331002015,胃肠短路术,逐层进腹，探查，胃-空肠侧侧吻合，止血，经腹壁另戳孔置管固定，冲洗腹腔，逐层关腹。含肠肠吻合术。,,次,,2560.0 ,2432.0 ,2304.0 ,2048.0 
G,331002016,胃减容术,,胃减容材料,次,胃袖状切除术不得按此项目收费。,2004.0 ,1904.0 ,1804.0 ,1603.0 
G,331002017S,空肠置管手术,开腹或腹腔镜下将管路置入到小肠（十二指肠或空肠）。,营养管,次,仅独立开展本手术方可收费。,2040.0 ,1938.0 ,1836.0 ,1632.0 
G,331002020S,胃底折叠术,指胃底折叠并固定于膈肌。,,次,,1789.0 ,1700.0 ,1610.0 ,1431.0 
G,331003,10.3 肠手术(不含直肠),,,,,,,,
G,331003001E,十二指肠憩室切除术,,,次,,2271.0 ,2157.0 ,2044.0 ,1817.0 
G,331003001-1E,十二指肠憩室内翻术,,,次,,2000.0 ,1900.0 ,1800.0 ,1600.0 
G,331003001-2E,十二指肠憩室填塞术,,,次,,2000.0 ,1900.0 ,1800.0 ,1600.0 
G,331003002E,十二指肠成形术,含十二指肠闭锁切除术。,,次,,3133.0 ,2976.0 ,2820.0 ,2506.0 
G,331003003,壶腹部肿瘤局部切除术,,,次,,2400.0 ,2280.0 ,2160.0 ,1920.0 
G,331003004E,肠回转不良矫治术(Lodd.s'术),含阑尾切除；不含肠扭转、肠坏死切除吻合及其他畸形矫治（憩室切除）。,,次,,3938.0 ,3741.0 ,3544.0 ,3150.0 
G,331003005,小儿原发性肠套叠手术复位,不含肠坏死切除吻合、肠造瘘、肠外置、阑尾切除、继发性肠套叠病灶手术处置、肠减压术。,,次,,2596.0 ,2466.0 ,2336.0 ,2077.0 
G,331003006E,肠扭转肠套叠复位术,,,次,,1250.0 ,1187.5 ,1125.0 ,1000.0 
G,331003007E,肠切除术,含小肠、回盲部结肠部分切除。,,次,,1824.0 ,1733.0 ,1642.0 ,1459.0 
G,331003008E,肠粘连松解术,,,次,仅独立开展本手术方可收费。,1500.0 ,1425.0 ,1350.0 ,1200.0 
G,331003008-1E,盆腔粘连松解术,,,次,仅独立开展本手术方可收费。,1500.0 ,1425.0 ,1350.0 ,1200.0 
G,331003009,肠倒置术,,,次,,1200.0 ,1140.0 ,1080.0 ,960.0 
G,331003011E,肠造瘘还纳术,含肠吻合术。,,次,,1778.0 ,1689.0 ,1600.0 ,1422.0 
G,331003012E,肠瘘切除术,,,次,,1380.0 ,1311.0 ,1242.0 ,1104.0 
G,331003013E,肠排列术(固定术),,,次,,1600.0 ,1520.0 ,1440.0 ,1280.0 
G,331003014,肠储存袋成形术,,,次,,2619.0 ,2488.1 ,2357.1 ,2095.2 
G,331003015,乙状结肠悬吊术,,,次,,1760.0 ,1672.0 ,1584.0 ,1408.0 
G,331003016,先天性肠腔闭锁成形术,含小肠结肠；不含多处闭锁。,,次,,3691.0 ,3506.0 ,3322.0 ,2953.0 
G,331003017E,结肠造瘘(Colostomy)术,含双口或单口造瘘。,,次,,1500.0 ,1425.0 ,1350.0 ,1200.0 
G,331003018E,结肠切除吻合术,指左半结肠、右半结肠、横结肠部分切除术。,,次,,3114.0 ,2958.0 ,2803.0 ,2491.0 
